Matric No.	Test1(20%)	Test2(20%)	Assignments(30%)	Final(30%)	Total(100%)	Grade
168613		16.6		8.32		21.0			12.9		58.82		C+
171661		6.0		3.0		0.0			0.0		9.0		F
174107		16.2		8.12		13.0			6.3		43.62		D
175752		17.4		8.72		21.0			9.3		56.42		C+
176360		10.0		5.0		21.0			15.9		51.9		C
176509		9.0		4.52		14.33			2.4		30.25		F
176545		13.2		6.6		17.0			10.8		47.6		C-
176661		18.2		9.12		24.33			14.4		66.05		B
176806		11.0		5.52		24.33			15.0		55.85		C+
176843		10.0		5.0		16.67			10.2		41.87		D
176914		5.4		2.72		24.67			9.6		42.39		D
177010		4.4		2.2		24.33			17.1		48.03		C-
177295		19.2		9.6		21.33			14.85		64.98		B-
177533		13.0		6.52		13.0			18.45		50.97		C
177617		5.2		2.6		14.33			17.25		39.38		F
177633		6.2		3.12		21.33			10.5		41.15		D
177773		7.0		3.52		21.0			16.05		47.57		C-
177776		8.0		4.0		24.33			18.9		55.23		C+
177829		13.2		6.6		24.67			14.7		59.17		C+
177968		11.8		5.92		24.33			16.5		58.55		C+
178032		12.8		6.4		24.33			16.5		60.03		B-
178079		4.2		2.12		21.33			11.7		39.35		F
178183		13.6		6.8		21.67			21.9		63.97		B-
178187		6.8		3.4		21.0			16.95		48.15		C-
178405		7.6		3.8		24.33			15.9		51.63		C
178663		8.2		4.12		24.33			18.0		54.65		C
